Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room,Year,Term
MATH-040x,Basic Mathematical Skills,,4.0 units,Lecture,39400D,1.0,8:00-8:50am,MWF,30.0,2.0,0.0,Yong Han,KAP148,2007,Spring
,,,,Discussion,39401D,1.0,9:00-9:50am,"Tue, Thu",30.0,2.0,0.0,,VHE206,2007,Spring
MATH-100o,Off-Campus Studies,,"1.5-12.0 units, max 12",,,,,,,,,,,2007,Spring
,Introduction to Statistics,,3.0,Lecture,05463R,93.0,TBA,TBA,50.0,1.0,0.0,,TBA,2007,Spring
MATH-108,Precalculus,P,4.0 units,Lecture,39404D,1.0,8:00-8:50am,MWF,50.0,26.0,0.0,John Novak,KAP146,2007,Spring
,,,,Discussion,39405D,1.0,8:00-8:50am,"Tue, Thu",20.0,6.0,0.0,,KAP141,2007,Spring
,,,,Discussion,39406D,1.0,9:00-9:50am,"Tue, Thu",20.0,5.0,0.0,,KAP141,2007,Spring
,,,,Discussion,39407D,1.0,10:00-10:50am,"Tue, Thu",20.0,15.0,0.0,,KAP141,2007,Spring
MATH-116,Mathematics for the Social Sciences,P,4.0 units,Lecture,39410D,1.0,9:00-9:50am,MWF,45.0,37.0,0.0,Attila Maroti,KAP146,2007,Spring
,,,,Discussion,39411D,1.0,8:00-8:50am,"Tue, Thu",15.0,10.0,0.0,,GFS112,2007,Spring
,,,,Discussion,39412D,1.0,9:00-9:50am,"Tue, Thu",15.0,13.0,0.0,,GFS112,2007,Spring
,,,,Discussion,39413D,1.0,10:00-10:50am,"Tue, Thu",15.0,14.0,0.0,,GFS112,2007,Spring
MATH-117,Introduction to Mathematics for Business and Economics,P,4.0 units,Lecture,39416D,1.0,12:00-12:50pm,MWF,75.0,47.0,0.0,Darren Semmen,THH208,2007,Spring
,,,,Discussion,39417D,1.0,11:00-11:50am,"Tue, Thu",25.0,23.0,0.0,,KAP134,2007,Spring
,,,,Discussion,39418D,1.0,12:00-12:50pm,"Tue, Thu",25.0,6.0,0.0,,KAP134,2007,Spring
,,,,Discussion,39419D,1.0,1:00-1:50pm,"Tue, Thu",25.0,18.0,0.0,,KAP134,2007,Spring
MATH-118x,Fundamental Principles of the Calculus,P,4.0 units,Lecture-Discussion,39425D,1.0,10:00-11:50am,"Mon, Wed",60.0,42.0,0.0,Maria Verona,THH208,2007,Spring
,,,,Lecture-Discussion,39426D,1.0,10:00-11:50am,"Tue, Thu",60.0,31.0,0.0,Zdenek Vorel,KAP249,2007,Spring
,,,,Lecture-Discussion,39427D,1.0,12:00-1:50pm,"Mon, Wed",50.0,47.0,0.0,Alan Schumitzky,GFS101,2007,Spring
,,,,Lecture-Discussion,39428D,1.0,2:00-3:50pm,"Mon, Wed",60.0,19.0,0.0,Darren Semmen,SOS B46,2007,Spring
,,,,Lecture-Discussion,39429D,1.0,2:00-3:50pm,"Tue, Thu",63.0,51.0,0.0,John Novak,THH210,2007,Spring
MATH-125,Calculus I,P,4.0 units,Lecture,39434D,1.0,9:00-9:50am,MWF,25.0,9.0,0.0,Cymra Haskell,KAP159,2007,Spring
,,,,Discussion,39435D,1.0,8:00-8:50am,"Tue, Thu",20.0,2.0,0.0,,GFS113,2007,Spring
,,,,Discussion,39436D,1.0,9:00-9:50am,"Tue, Thu",20.0,5.0,0.0,,GFS113,2007,Spring
,,,,Discussion,39437D,1.0,10:00-10:50am,"Tue, Thu",20.0,2.0,0.0,,GFS113,2007,Spring
,,,,Lecture,39438D,1.0,10:00-10:50am,MWF,60.0,30.0,0.0,Fedor Malikov,GFS101,2007,Spring
,,,,Discussion,39439D,1.0,8:00-8:50am,"Tue, Thu",20.0,7.0,0.0,,GFS114,2007,Spring
,,,,Discussion,39440D,1.0,9:00-9:50am,"Tue, Thu",20.0,5.0,0.0,,GFS114,2007,Spring
,,,,Discussion,39441D,1.0,10:00-10:50am,"Tue, Thu",21.0,18.0,0.0,,GFS114,2007,Spring
,,,,Lecture,39442D,1.0,11:00-11:50am,MWF,60.0,39.0,0.0,Cymra Haskell,THH114,2007,Spring
,,,,Discussion,39443D,1.0,11:00-11:50am,"Tue, Thu",20.0,16.0,0.0,,GFS113,2007,Spring
,,,,Discussion,39444D,1.0,12:00-12:50pm,"Tue, Thu",20.0,7.0,0.0,,GFS113,2007,Spring
,,,,Discussion,39445D,1.0,1:00-1:50pm,"Tue, Thu",20.0,16.0,0.0,,GFS113,2007,Spring
,,,,Lecture,39446D,1.0,12:00-12:50pm,MWF,60.0,50.0,0.0,Wlodek Proskurowski,THH212,2007,Spring
,,,,Discussion,39447D,1.0,2:00-2:50pm,"Tue, Thu",21.0,17.0,0.0,,GFS113,2007,Spring
,,,,Discussion,39448D,1.0,3:00-3:50pm,"Tue, Thu",20.0,9.0,0.0,,GFS113,2007,Spring
,,,,Discussion,39449D,1.0,4:00-4:50pm,"Tue, Thu",24.0,24.0,0.0,,GFS113,2007,Spring
MATH-126,Calculus II,P,4.0 units,Lecture,39460D,1.0,10:00-10:50am,MWF,60.0,17.0,0.0,Charles Lanski,VKC100,2007,Spring
,,,,Discussion,39461D,1.0,8:00-8:50am,"Tue, Thu",20.0,4.0,0.0,,GFS201,2007,Spring
,,,,Discussion,39462D,1.0,9:00-9:50am,"Tue, Thu",20.0,4.0,0.0,,GFS201,2007,Spring
,,,,Discussion,39463D,1.0,10:00-10:50am,"Tue, Thu",20.0,9.0,0.0,,GFS201,2007,Spring
,,,,Lecture,39464D,1.0,10:00-10:50am,MWF,60.0,30.0,0.0,Alex Bene,VKC101,2007,Spring
,,,,Discussion,39465D,1.0,11:00-11:50am,"Tue, Thu",21.0,16.0,0.0,,GFS114,2007,Spring
,,,,Discussion,39466D,1.0,12:00-12:50pm,"Tue, Thu",20.0,6.0,0.0,,GFS114,2007,Spring
,,,,Discussion,39467D,1.0,1:00-1:50pm,"Tue, Thu",20.0,8.0,0.0,,GFS114,2007,Spring
,,,,Lecture,39468D,1.0,11:00-11:50am,MWF,50.0,46.0,0.0,Alex Bene,OHE122,2007,Spring
,,,,Discussion,39469D,1.0,11:00-11:50am,"Tue, Thu",23.0,21.0,0.0,,GFS201,2007,Spring
,,,,Discussion,39470D,1.0,12:00-12:50pm,"Tue, Thu",20.0,11.0,0.0,,GFS201,2007,Spring
,,,,Discussion,39471D,1.0,1:00-1:50pm,"Tue, Thu",20.0,14.0,0.0,,GFS201,2007,Spring
,,,,Lecture,39472D,1.0,12:00-12:50pm,MWF,60.0,20.0,0.0,Ricardo Mancera,GFS118,2007,Spring
,,,,Discussion,39473D,1.0,8:00-8:50am,"Tue, Thu",20.0,1.0,0.0,,GFS202,2007,Spring
,,,,Discussion,39474D,1.0,9:00-9:50am,"Tue, Thu",20.0,2.0,0.0,,GFS202,2007,Spring
,,,,Discussion,39475D,1.0,10:00-10:50am,"Tue, Thu",20.0,17.0,0.0,,GFS202,2007,Spring
,,,,Lecture,39476D,1.0,12:00-12:50pm,MWF,64.0,61.0,0.0,Remigijus Mikulevicius,MHP105,2007,Spring
,,,,Discussion,39477D,1.0,2:00-2:50pm,"Tue, Thu",23.0,22.0,0.0,,GFS114,2007,Spring
,,,,Discussion,39478D,1.0,3:00-3:50pm,"Tue, Thu",20.0,18.0,0.0,,GFS114,2007,Spring
,,,,Discussion,39479D,1.0,4:00-4:50pm,"Tue, Thu",23.0,21.0,0.0,,GFS114,2007,Spring
,,,,Lecture,39480D,1.0,1:00-1:50pm,MWF,60.0,28.0,0.0,Ko Honda,MHP105,2007,Spring
,,,,Discussion,39481D,1.0,2:00-2:50pm,"Tue, Thu",21.0,18.0,0.0,,GFS201,2007,Spring
,,,,Discussion,39482D,1.0,3:00-3:50pm,"Tue, Thu",20.0,0.0,0.0,,GFS201,2007,Spring
,,,,Discussion,39483D,1.0,4:00-4:50pm,"Tue, Thu",20.0,10.0,0.0,,GFS201,2007,Spring
MATH-208x,Elementary Probability and Statistics,P,4.0 units,Lecture,39505D,1.0,2:00-2:50pm,MWF,50.0,32.0,0.0,Jason Fulman,MHP B7B,2007,Spring
MATH-218,Probability for Business,P,4.0 units,Lecture,39554D,1.0,2:00-3:20pm,"Mon, Wed",60.0,30.0,0.0,Sharad Goel,GFS116,2007,Spring
,,,,Discussion,39555D,1.0,10:00-10:50am,"Tue, Thu",20.0,9.0,0.0,,ACB231,2007,Spring
,,,,Discussion,39556D,1.0,11:00-11:50am,"Tue, Thu",20.0,13.0,0.0,,ACB231,2007,Spring
,,,,Discussion,39557D,1.0,12:00-12:50pm,"Tue, Thu",20.0,8.0,0.0,,ACB231,2007,Spring
,,,,Lecture,39510D,1.0,9:00-9:50am,MWF,75.0,45.0,0.0,Qingshuo Song,ZHS352,2007,Spring
,,,,Discussion,39511D,1.0,8:00-8:50am,"Tue, Thu",25.0,11.0,0.0,,KAP159,2007,Spring
,,,,Discussion,39512D,1.0,9:00-9:50am,"Tue, Thu",25.0,16.0,0.0,,KAP159,2007,Spring
,,,,Discussion,39513D,1.0,10:00-10:50am,"Tue, Thu",25.0,18.0,0.0,,KAP159,2007,Spring
,,,,Lecture,39514D,1.0,10:00-10:50am,MWF,75.0,42.0,0.0,Florence Lin,ZHS252,2007,Spring
,,,,Discussion,39515D,1.0,8:00-8:50am,"Tue, Thu",25.0,5.0,0.0,,KAP165,2007,Spring
,,,,Discussion,39516D,1.0,9:00-9:50am,"Tue, Thu",25.0,15.0,0.0,,KAP165,2007,Spring
,,,,Discussion,39517D,1.0,10:00-10:50am,"Tue, Thu",26.0,22.0,0.0,,KAP165,2007,Spring
,,,,Lecture,39518D,1.0,10:00-10:50am,MWF,75.0,22.0,0.0,Qingshuo Song,ZHS352,2007,Spring
,,,,Discussion,39519D,1.0,11:00-11:50am,"Tue, Thu",25.0,10.0,0.0,,KAP159,2007,Spring
,,,,Discussion,39520D,1.0,12:00-12:50pm,"Tue, Thu",25.0,5.0,0.0,,KAP159,2007,Spring
,,,,Discussion,39521D,1.0,1:00-1:50pm,"Tue, Thu",25.0,7.0,0.0,,KAP159,2007,Spring
,,,,Lecture,39522D,1.0,11:00-11:50am,MWF,75.0,32.0,0.0,Florence Lin,ZHS252,2007,Spring
,,,,Discussion,39523D,1.0,11:00-11:50am,"Tue, Thu",25.0,20.0,0.0,,KAP165,2007,Spring
,,,,Discussion,39524D,1.0,12:00-12:50pm,"Tue, Thu",25.0,4.0,0.0,,KAP165,2007,Spring
,,,,Discussion,39525D,1.0,1:00-1:50pm,"Tue, Thu",25.0,8.0,0.0,,KAP165,2007,Spring
,,,,Lecture,39526D,1.0,11:00-11:50am,MWF,75.0,60.0,0.0,Ronald Bruck Jr,ZHS352,2007,Spring
,,,,Discussion,39527D,1.0,11:00-11:50am,"Tue, Thu",25.0,23.0,0.0,,KAP167,2007,Spring
,,,,Discussion,39528D,1.0,12:00-12:50pm,"Tue, Thu",25.0,19.0,0.0,,KAP167,2007,Spring
,,,,Discussion,39529D,1.0,1:00-1:50pm,"Tue, Thu",25.0,18.0,0.0,,KAP167,2007,Spring
,,,,Lecture,39530D,1.0,12:00-12:50pm,MWF,75.0,53.0,0.0,Florence Lin,ZHS252,2007,Spring
,,,,Discussion,39531D,1.0,2:00-2:50pm,"Tue, Thu",25.0,23.0,0.0,,KAP159,2007,Spring
,,,,Discussion,39532D,1.0,3:00-3:50pm,"Tue, Thu",25.0,8.0,0.0,,KAP159,2007,Spring
,,,,Discussion,39533D,1.0,4:00-4:50pm,"Tue, Thu",25.0,22.0,0.0,,KAP159,2007,Spring
,,,,Lecture,39534D,1.0,12:00-12:50pm,MWF,75.0,64.0,0.0,Nathaniel Emerson,ZHS352,2007,Spring
,,,,Discussion,39535D,1.0,2:00-2:50pm,"Tue, Thu",25.0,21.0,0.0,,KAP165,2007,Spring
,,,,Discussion,39536D,1.0,3:00-3:50pm,"Tue, Thu",25.0,18.0,0.0,,KAP165,2007,Spring
,,,,Discussion,39537D,1.0,4:00-4:50pm,"Tue, Thu",25.0,25.0,0.0,,KAP165,2007,Spring
,,,,Lecture,39538D,1.0,1:00-1:50pm,MWF,75.0,67.0,0.0,Zachary Mesyan,ZHS252,2007,Spring
,,,,Discussion,39539D,1.0,2:00-2:50pm,"Tue, Thu",25.0,23.0,0.0,,KAP167,2007,Spring
,,,,Discussion,39540D,1.0,3:00-3:50pm,"Tue, Thu",25.0,17.0,0.0,,KAP167,2007,Spring
,,,,Discussion,39541D,1.0,4:00-4:50pm,"Tue, Thu",27.0,27.0,0.0,,KAP167,2007,Spring
,,,,Lecture,39542D,1.0,1:00-1:50pm,MWF,75.0,46.0,0.0,Nathaniel Emerson,ZHS352,2007,Spring
,,,,Discussion,39543D,1.0,11:00-11:50am,"Tue, Thu",25.0,20.0,0.0,,GFS220,2007,Spring
,,,,Discussion,39544D,1.0,12:00-12:50pm,"Tue, Thu",25.0,9.0,0.0,,GFS220,2007,Spring
,,,,Discussion,39545D,1.0,1:00-1:50pm,"Tue, Thu",25.0,17.0,0.0,,GFS220,2007,Spring
,,,,Lecture,39546D,1.0,2:00-3:20pm,"Mon, Wed",75.0,53.0,0.0,Maria Verona,ZHS252,2007,Spring
,,,,Discussion,39547D,1.0,2:00-2:50pm,"Tue, Thu",25.0,20.0,0.0,,SOS B47,2007,Spring
,,,,Discussion,39548D,1.0,3:00-3:50pm,"Tue, Thu",25.0,17.0,0.0,,SOS B47,2007,Spring
,,,,Discussion,39549D,1.0,4:00-4:50pm,"Tue, Thu",25.0,16.0,0.0,,SOS B47,2007,Spring
,,,,Lecture,39550D,1.0,2:00-3:20pm,"Mon, Wed",75.0,54.0,0.0,Nikolaos Zygouras,ZHS352,2007,Spring
,,,,Discussion,39551D,1.0,8:00-8:50am,"Tue, Thu",26.0,19.0,0.0,,KAP166,2007,Spring
,,,,Discussion,39552D,1.0,9:00-9:50am,"Tue, Thu",25.0,17.0,0.0,,KAP166,2007,Spring
,,,,Discussion,39553D,1.0,10:00-10:50am,"Tue, Thu",25.0,18.0,0.0,,KAP166,2007,Spring
MATH-225,Linear Algebra and Linear Differential Equations,P,4.0 units,Lecture,39571D,1.0,10:00-10:50am,MWF,60.0,22.0,0.0,Zachary Mesyan,THH114,2007,Spring
,,,,Discussion,39572D,1.0,8:00-8:50am,"Tue, Thu",20.0,6.0,0.0,,KAP137,2007,Spring
,,,,Discussion,39573D,1.0,9:00-9:50am,"Tue, Thu",20.0,3.0,0.0,,KAP137,2007,Spring
,,,,Discussion,39574D,1.0,10:00-10:50am,"Tue, Thu",20.0,13.0,0.0,,KAP137,2007,Spring
,,,,Lecture,39575D,1.0,1:00-1:50pm,MWF,60.0,49.0,0.0,Petros Ioannou,GFS118,2007,Spring
,,,,Discussion,39576D,1.0,11:00-11:50am,"Tue, Thu",21.0,18.0,0.0,,KAP137,2007,Spring
,,,,Discussion,39577D,1.0,12:00-12:50pm,"Tue, Thu",20.0,14.0,0.0,,KAP137,2007,Spring
,,,,Discussion,39578D,1.0,1:00-1:50pm,"Tue, Thu",20.0,17.0,0.0,,KAP137,2007,Spring
MATH-226,Calculus III,P,4.0 units,Lecture,39583D,1.0,10:00-10:50am,MWF,60.0,48.0,0.0,Nathaniel Emerson,GFS116,2007,Spring
,,,,Discussion,39584D,1.0,8:00-8:50am,"Tue, Thu",20.0,9.0,0.0,,VHE214,2007,Spring
,,,,Discussion,39585D,1.0,9:00-9:50am,"Tue, Thu",20.0,18.0,0.0,,VHE214,2007,Spring
,,,,Discussion,39586D,1.0,10:00-10:50am,"Tue, Thu",23.0,21.0,0.0,,VHE214,2007,Spring
,,,,Lecture,39587D,1.0,11:00-11:50am,MWF,64.0,55.0,0.0,Tamas Kalman,SOS B46,2007,Spring
,,,,Discussion,39588D,1.0,11:00-11:50am,"Tue, Thu",25.0,20.0,0.0,,VHE214,2007,Spring
,,,,Discussion,39589D,1.0,12:00-12:50pm,"Tue, Thu",20.0,16.0,0.0,,VHE214,2007,Spring
,,,,Discussion,39590D,1.0,1:00-1:50pm,"Tue, Thu",22.0,19.0,0.0,,VHE214,2007,Spring
,,,,Lecture,39591D,1.0,12:00-12:50pm,MWF,60.0,44.0,0.0,Ilesanmi Adeboye,GFS116,2007,Spring
,,,,Discussion,39592D,1.0,2:00-2:50pm,"Tue, Thu",20.0,20.0,0.0,,VHE214,2007,Spring
,,,,Discussion,39593D,1.0,3:00-3:50pm,"Tue, Thu",20.0,6.0,0.0,,VHE214,2007,Spring
,,,,Discussion,39594D,1.0,4:00-4:50pm,"Tue, Thu",20.0,18.0,0.0,,VHE214,2007,Spring
,,,,Lecture,39595D,1.0,1:00-1:50pm,MWF,63.0,61.0,0.0,Mohammed Ziane,SOS B46,2007,Spring
,,,,Discussion,39596D,1.0,11:00-11:50am,"Tue, Thu",22.0,22.0,0.0,,KAP141,2007,Spring
,,,,Discussion,39597D,1.0,12:00-12:50pm,"Tue, Thu",21.0,20.0,0.0,,KAP141,2007,Spring
,,,,Discussion,39598D,1.0,1:00-1:50pm,"Tue, Thu",20.0,19.0,0.0,,KAP141,2007,Spring
MATH-245,Mathematics of Physics and Engineering I,P,4.0 units,Discussion,39617D,1.0,11:00-11:50am,"Tue, Thu",24.0,24.0,0.0,,RTH109,2007,Spring
,,,,Lecture,39605D,1.0,10:00-10:50am,MWF,60.0,32.0,0.0,Ilesanmi Adeboye,SOS B46,2007,Spring
,,,,Discussion,39606D,1.0,8:00-8:50am,"Tue, Thu",20.0,10.0,0.0,,KAP134,2007,Spring
,,,,Discussion,39607D,1.0,9:00-9:50am,"Tue, Thu",20.0,5.0,0.0,,KAP134,2007,Spring
,,,,Discussion,39608D,1.0,10:00-10:50am,"Tue, Thu",20.0,17.0,0.0,,KAP134,2007,Spring
,,,,Lecture,39609D,1.0,11:00-11:50am,MWF,60.0,48.0,0.0,Peter Baxendale,GFS116,2007,Spring
,,,,Discussion,39610D,1.0,11:00-11:50am,"Tue, Thu",25.0,24.0,0.0,,KAP113,2007,Spring
,,,,Discussion,39611D,1.0,12:00-12:50pm,"Tue, Thu",20.0,10.0,0.0,,KAP113,2007,Spring
,,,,Discussion,39612D,1.0,1:00-1:50pm,"Tue, Thu",20.0,14.0,0.0,,KAP113,2007,Spring
,,,,Lecture,39613D,1.0,12:00-12:50pm,MWF,90.0,87.0,0.0,Larry Redekopp,SLH200,2007,Spring
,,,,Discussion,39614D,1.0,8:00-8:50am,"Tue, Thu",30.0,15.0,0.0,,RTH109,2007,Spring
,,,,Discussion,39615D,1.0,9:00-9:50am,"Tue, Thu",29.0,20.0,0.0,,RTH109,2007,Spring
,,,,Discussion,39616D,1.0,10:00-10:50am,"Tue, Thu",30.0,28.0,0.0,,RTH109,2007,Spring
MATH-370,Applied Algebra,P,4.0 units,Lecture,39618D,1.0,11:00-11:50am,MWF,1.0,0.0,0.0,Darren Semmen,,2007,Spring
MATH-395,Seminar in Problem Solving,,"2.0 units, max 8",Lecture,39621D,1.0,TBA,TBA,30.0,4.0,0.0,Richard Arratia,OFFICE,2007,Spring
MATH-407,Probability Theory,P,4.0 units,Lecture,39625D,1.0,12:00-12:50pm,MWF,50.0,38.0,0.0,Sharad Goel,VKC156,2007,Spring
,,,,Discussion,39626D,1.0,11:00-11:50am,"Tue, Thu",25.0,19.0,0.0,,GFS104,2007,Spring
,,,,Discussion,39627D,1.0,12:00-12:50pm,"Tue, Thu",25.0,19.0,0.0,,GFS104,2007,Spring
MATH-408,Mathematical Statistics,P,4.0 units,Lecture,39635D,1.0,12:00-12:50pm,MWF,30.0,15.0,0.0,Jianfeng Zhang,KAP148,2007,Spring
,,,,Discussion,39636D,1.0,1:00-1:50pm,"Tue, Thu",30.0,15.0,0.0,,GFS104,2007,Spring
MATH-410,Fundamental Concepts of Modern Algebra,P,4.0 units,Lecture,39639D,1.0,1:00-1:50pm,MWF,24.0,9.0,0.0,Charles Lanski,KAP137,2007,Spring
,,,,Discussion,39640D,1.0,2:00-3:50pm,Thursday,24.0,9.0,0.0,,KAP166,2007,Spring
MATH-425a,Fundamental Concepts of Analysis,P,4.0 units,Lecture,39645D,1.0,10:00-10:50am,MWF,24.0,11.0,0.0,Ronald Bruck Jr,ZHS360,2007,Spring
,,,,Discussion,39646D,1.0,2:00-3:50pm,Tuesday,24.0,11.0,0.0,,KAP166,2007,Spring
MATH-425b,Fundamental Concepts of Analysis,P,4.0 units,Lecture,39647D,1.0,10:00-10:50am,MWF,20.0,4.0,0.0,Kenneth Alexander,KAP159,2007,Spring
MATH-432,Applied Combinatorics,P,4.0 units,Lecture,39651D,1.0,2:00-3:20pm,"Tue, Thu",30.0,18.0,0.0,Sol Golomb,KAP148,2007,Spring
MATH-435,Vector Analysis and Introduction to Differential Geometry,P,4.0 units,Lecture,39655D,1.0,2:00-2:50pm,MWF,24.0,7.0,0.0,Tamas Kalman,KAP138,2007,Spring
MATH-445,Mathematics of Physics and Engineering II,P,4.0 units,Lecture,39661D,1.0,11:00-11:50am,MWF,40.0,28.0,0.0,Kenneth Alexander,KAP163,2007,Spring
,,,,Discussion,39662D,1.0,12:00-12:50pm,"Tue, Thu",20.0,12.0,0.0,,KAP138,2007,Spring
,,,,Discussion,39663D,1.0,1:00-1:50pm,"Tue, Thu",20.0,16.0,0.0,,KAP138,2007,Spring
,,,,Lecture,39664D,1.0,2:00-3:20pm,"Mon, Wed",40.0,18.0,0.0,Miguel Dumett,KAP158,2007,Spring
,,,,Discussion,39665D,1.0,9:00-9:50am,"Tue, Thu",20.0,6.0,0.0,,KAP138,2007,Spring
,,,,Discussion,39666D,1.0,10:00-10:50am,"Tue, Thu",20.0,12.0,0.0,,KAP138,2007,Spring
MATH-450,History of Mathematics,P,4.0 units,Lecture,39670D,1.0,11:00-11:50am,MWF,20.0,14.0,0.0,Zdenek Vorel,KAP137,2007,Spring
MATH-465,Ordinary Differential Equations,P,4.0 units,Lecture,39674D,1.0,1:00-1:50pm,MWF,20.0,3.0,0.0,Nicolai Haydn,KAP113,2007,Spring
MATH-471,Topics in Linear Algebra,P,4.0 units,Lecture,39680D,1.0,11:00-11:50am,MWF,20.0,6.0,0.0,Fedor Malikov,KAP138,2007,Spring
MATH-475,Introduction to Theory of Complex Variables,P,4.0 units,Lecture,39686D,1.0,9:00-9:50am,MWF,20.0,2.0,0.0,Nikolaos Zygouras,KAP138,2007,Spring
MATH-490x,Directed Research,C,"1.0-8.0 units, max 12",Lecture,39690D,1.0,TBA,TBA,10.0,1.0,0.0,Gary Rosen,OFFICE,2007,Spring
MATH-500,Graduate Colloquium,,2.0 units,Lecture,39692R,1.0,TBA,TBA,30.0,8.0,0.0,Jason Fulman,OFFICE,2007,Spring
MATH-501,Numerical Analysis and Computation,,3.0 units,Lecture,39694R,1.0,10:00-10:50am,MWF,30.0,16.0,0.0,Wlodek Proskurowski,GFS223,2007,Spring
MATH-502b,Numerical Analysis,P,3.0 units,Lecture,39698R,1.0,10:00-10:50am,MWF,20.0,11.0,0.0,Miguel Dumett,KAP137,2007,Spring
MATH-503,Stochastic Calculus for Finance,P,3.0 units,Lecture,39700R,1.0,10:00-10:50am,MWF,40.0,39.0,0.0,Jianfeng Zhang,KAP163,2007,Spring
MATH-505b,Applied Probability,P,3.0 units,Lecture,39708R,1.0,1:00-1:50pm,MWF,20.0,3.0,0.0,Richard Arratia,KAP138,2007,Spring
MATH-507b,Theory of Probability,P,3.0 units,Lecture,39716R,1.0,1:00-1:50pm,MWF,20.0,13.0,0.0,Peter Baxendale,KAP141,2007,Spring
MATH-508,Filtering Theory,P,3.0 units,Lecture,39718R,1.0,2:00-2:50pm,MWF,20.0,9.0,0.0,Remigijus Mikulevicius,KAP137,2007,Spring
MATH-510b,Algebra,P,3.0 units,Lecture,39724R,1.0,10:00-10:50am,MWF,20.0,11.0,0.0,Attila Maroti,KAP138,2007,Spring
MATH-511aL,Data Analysis,P,4.0 units,Lecture,41057D,46.0,12:55-2:55pm,Wednesday,60.0,49.0,0.0,David Conti,CHP224,2007,Spring
,,,,Lab,41058D,46.0,3:00-5:00pm,Wednesday,60.0,34.0,0.0,David Conti,CHP225,2007,Spring
,,,,Lab,41059D,46.0,5:05-7:05pm,Wednesday,40.0,15.0,0.0,David Conti,CHP225,2007,Spring
MATH-511bL,Data Analysis,P,4.0 units,Lecture,41063D,46.0,11:00-1:00pm,Wednesday,60.0,30.0,0.0,Kimberly Siegmund,CHP224,2007,Spring
,,,,Lab,41064D,46.0,9:00-10:50am,Wednesday,30.0,15.0,0.0,Kimberly Siegmund,CHP225,2007,Spring
,,,,Lab,41065D,46.0,1:05-3:00pm,Wednesday,30.0,15.0,0.0,Kimberly Siegmund,CHP225,2007,Spring
MATH-520,Complex Analysis,P,3.0 units,Lecture,39734R,1.0,2:00-2:50pm,MWF,20.0,14.0,0.0,Nicolai Haydn,KAP141,2007,Spring
MATH-525b,Real Analysis,P,3.0 units,Lecture,39740R,1.0,9:00-9:50am,MWF,25.0,17.0,0.0,Igor Kukavica,DRB337,2007,Spring
MATH-540,Topology,P,3.0 units,Lecture,39756R,1.0,11:00-11:50am,MWF,20.0,8.0,0.0,Ko Honda,KAP141,2007,Spring
MATH-541a,Introduction to Mathematical Statistics,P,3.0 units,Lecture,39760R,1.0,11:00-11:50am,MWF,40.0,28.0,0.0,Larry Goldstein,VKC102,2007,Spring
MATH-542L,Analysis of Variance and Design,P,3.0 units,Lecture-Lab,39766R,1.0,9:00-9:50am,MWF,24.0,17.0,0.0,Larry Goldstein,KAP137,2007,Spring
MATH-555b,Partial Differential Equations,P,3.0 units,Lecture,39790R,1.0,12:00-12:50pm,MWF,20.0,7.0,0.0,Mohammed Ziane,KAP141,2007,Spring
MATH-565a,Ordinary Differential Equations,P,3.0 units,Lecture,39794R,1.0,11:00-12:20pm,"Tue, Thu",10.0,6.0,0.0,Robert Sacker,KAP150,2007,Spring
MATH-570b,Methods of Applied Mathematics,P,3.0 units,Lecture,39798R,1.0,8:30-9:50am,"Tue, Thu",15.0,4.0,0.0,Robert Sacker,KAP150,2007,Spring
MATH-577a,Computational Molecular Biology Laboratory,,2.0 units,Lecture,39812R,1.0,2:00-3:50pm,Tuesday,24.0,7.0,0.0,Lei Li Fengzhu Sun Xianghong Zhou,MCB301,2007,Spring
MATH-578a,Computational Molecular Biology,P,3.0 units,Lecture,39818R,1.0,11:00-12:20pm,"Tue, Thu",20.0,9.0,0.0,Michael Waterman Xianghong Zhou,MCB301,2007,Spring
MATH-590,Directed Research,,1.0-12.0 units,Lecture,39834D,1.0,TBA,TBA,20.0,7.0,0.0,Gary Rosen,OFFICE,2007,Spring
MATH-594a,Master's Thesis,,2.0 units,Lecture,39838R,1.0,TBA,TBA,10.0,2.0,0.0,,OFFICE,2007,Spring
MATH-594b,Master's Thesis,P,2.0 units,Lecture,39839R,1.0,TBA,TBA,10.0,2.0,0.0,,OFFICE,2007,Spring
MATH-594z,Master's Thesis,PC,0.0 units,Lecture,39940R,1.0,TBA,TBA,10.0,2.0,0.0,,OFFICE,2007,Spring
MATH-601,Optimization Theory and Techniques,P,3.0 units,Lecture,39946R,1.0,10:00-10:50am,MWF,20.0,3.0,0.0,Ricardo Mancera,KAP141,2007,Spring
MATH-790,Research,,1.0-12.0 units,Lecture,40012D,1.0,TBA,TBA,20.0,9.0,0.0,Gary Rosen,OFFICE,2007,Spring
MATH-794a,Doctoral Dissertation,,2.0 units,Lecture,40013R,1.0,TBA,TBA,15.0,3.0,0.0,,OFFICE,2007,Spring
MATH-794b,Doctoral Dissertation,P,2.0 units,Lecture,40014R,1.0,TBA,TBA,10.0,3.0,0.0,,OFFICE,2007,Spring
MATH-794c,Doctoral Dissertation,P,2.0 units,Lecture,40015R,1.0,TBA,TBA,10.0,3.0,0.0,,OFFICE,2007,Spring
